X,Atten,Time,Date
7639.04,-47.491,07:19:02,20/6/2018
7639.05,-47.492,07:19:03,20/6/2018
7646.61,-47.879,07:26:37,20/6/2018
7649.47,-47.962,07:29:28,20/6/2018
7680.65,-48.111,08:00:39,20/6/2018
7682.51,-47.715,08:02:31,20/6/2018
7700.45,-47.517,08:20:27,20/6/2018
7715.56,-47.492,08:35:34,20/6/2018
7725.04,-48.037,08:45:02,20/6/2018
7756.21,-47.988,09:16:13,20/6/2018
7800.61,-48.037,10:00:37,20/6/2018
7836.5,-53.492,10:36:30,20/6/2018
7836.81,-53.488,10:36:49,20/6/2018
7845.33,-53.786,10:45:20,20/6/2018
7846.91,-58.646,10:46:55,20/6/2018
7847.43,-59.45,10:47:26,20/6/2018
7848.66,-62.607,10:48:40,20/6/2018
7856.36,-65.258,10:56:22,20/6/2018
7858.58,-71.031,10:58:35,20/6/2018
7862.96,-65.01,11:02:58,20/6/2018
7866.29,-56.982,11:06:17,20/6/2018
7868.35,-60.005,11:08:21,20/6/2018
7873.6,-52.522,11:13:36,20/6/2018
7876.48,-53.39,11:16:29,20/6/2018
7876.67,-53.087,11:16:40,20/6/2018
7882.89,-49.747,11:22:53,20/6/2018
7885.86,-52.275,11:25:52,20/6/2018
7893.22,-48.781,11:33:13,20/6/2018
7895.15,-49.549,11:35:09,20/6/2018
7903.57,-48.607,11:43:34,20/6/2018
7903.6,-48.608,11:43:36,20/6/2018
7962.14,-48.063,12:42:08,20/6/2018
8001.81,-48.013,13:21:49,20/6/2018
8044.33,-48.237,14:04:20,20/6/2018
8046.2,-48.214,14:06:12,20/6/2018
8053.79,-48.509,14:13:47,20/6/2018
8056.64,-48.806,14:16:38,20/6/2018
8064.22,-49.129,14:24:13,20/6/2018
8070.81,-48.757,14:30:49,20/6/2018
8083.13,-48.908,14:43:08,20/6/2018
8083.34,-48.749,14:43:20,20/6/2018
8084.02,-48.509,14:44:01,20/6/2018
8093.74,-53.489,14:53:44,20/6/2018
8093.96,-53.708,14:53:58,20/6/2018
8095.03,-59.585,14:55:02,20/6/2018
8103.55,-59.808,15:03:33,20/6/2018
8105.5,-60.898,15:05:30,20/6/2018
8113.12,-62.013,15:13:07,20/6/2018
8113.9,-59.238,15:13:54,20/6/2018
8122.21,-55.744,15:22:13,20/6/2018
8122.39,-55.809,15:22:23,20/6/2018
8130.7,-55.571,15:30:42,20/6/2018
8134.44,-54.828,15:34:26,20/6/2018
8142.85,-53.291,15:42:51,20/6/2018
8143.87,-54.53,15:43:52,20/6/2018
8151.27,-53.096,15:51:16,20/6/2018
8151.34,-53.093,15:51:20,20/6/2018
8160.66,-51.607,16:00:40,20/6/2018
8160.71,-51.607,16:00:43,20/6/2018
8170.07,-50.54,16:10:04,20/6/2018
8170.09,-50.541,16:10:05,20/6/2018
8188.01,-50.046,16:28:01,20/6/2018
8206.9,-49.996,16:46:54,20/6/2018
8225.79,-49.972,17:05:47,20/6/2018
8235.25,-50.439,17:15:15,20/6/2018
8235.27,-50.442,17:15:16,20/6/2018
8245.71,-51.384,17:25:43,20/6/2018
8248.5,-50.69,17:28:30,20/6/2018
8255.16,-51.558,17:35:10,20/6/2018
8255.19,-51.979,17:35:11,20/6/2018
8274.08,-51.979,17:54:05,20/6/2018
8275.01,-51.955,17:55:01,20/6/2018
8282.54,-51.31,18:02:32,20/6/2018
8285.34,-50.591,18:05:20,20/6/2018
8294.77,-50.393,18:14:46,20/6/2018
8297.59,-50.046,18:17:35,20/6/2018
8321.2,-50.046,18:41:12,20/6/2018
8329.7,-50.022,18:49:42,20/6/2018
8341.01,-49.799,19:01:01,20/6/2018
8341.03,-49.799,19:01:02,20/6/2018
8347.61,-49.278,19:07:37,20/6/2018
8352.32,-49.055,19:12:19,20/6/2018
8359.88,-49.08,19:19:53,20/6/2018
8369.31,-48.857,19:29:19,20/6/2018
8371.18,-48.486,19:31:11,20/6/2018
8380.61,-48.238,19:40:37,20/6/2018
8381.54,-47.99,19:41:32,20/6/2018
8394.77,-48.04,19:54:46,20/6/2018
8405.19,-48.634,20:05:11,20/6/2018
8413.7,-48.659,20:13:42,20/6/2018
